texto,cypher
"¿En qué año se estrenó la película Terminator 2: Judgment Day?","MATCH (m:Movie {title:"Terminator 2: Judgment Day"}) RETURN m.released"
"¿Quién es el director de la película The Dark Knight?","MATCH (d:Person)-[:DIRECTED]->(m:Movie {title:"The Dark Knight"}) RETURN d.name"
"¿Qué películas ha dirigido Christopher Nolan?","MATCH (d:Person {name:"Christopher Nolan"})-[:DIRECTED]->(m:Movie) RETURN m.title"
"¿Quiénes son los actores que aparecen en la película Pulp Fiction?","MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title:"Pulp Fiction"}) RETURN p.name"
"¿En qué año se estrenó la película The Lion King?","MATCH (m:Movie {title:"The Lion King"}) RETURN m.released"
"¿Qué películas ha protagonizado Tom Cruise?","MATCH (p:Person {name:"Tom Cruise"})-[:ACTED_IN]->(m:Movie) RETURN m.title"
"¿Cuál es la duración de la película Inception?","MATCH (m:Movie {title:"Inception"}) RETURN m.duration"
"¿Cuál es el nombre del personaje que interpreta Tom Hanks en la película Cast Away?","MATCH (p:Person {name:'Tom Hanks'})-[:ACTED_IN]->(m:Movie {title:'Cast Away'})-[:HAS_CHARACTER]->(c:Character) RETURN c.name"
"Quiero encontrar todos los actores que han trabajado en alguna película de ciencia ficción","MATCH (a:Actor)-[:ACTED_IN]->(m:Pelicula {genero: 'Ciencia Ficción'}) RETURN DISTINCT a.nombre"
"Necesito saber los nombres de los actores que han trabajado con Tom Cruise","MATCH (a:Actor)-[:ACTED_IN]->(m:Pelicula)<-[:ACTED_IN]-(tc:Actor {nombre: 'Tom Cruise'}) RETURN DISTINCT a.nombre"
"Dime las películas que ha dirigido Christopher Nolan","MATCH (d:Director {nombre: 'Christopher Nolan'})-[:DIRECTED]->(p:Pelicula) RETURN p.titulo"
